ID,Type,Species,Capture Method,Date,Time,Latitude,Longitude,Sex,Notch Pattern,Name,Found,Active,Exposure,Microhabitat,Habitat Notes,Emergent Vegetation,Submergent Vegetation,Water Depth,Notes
5057,tracked turtle,Terrapene ornata,Telemetry,5/25/22,9:40:48,41.34096867,-91.08462096,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
5063,tracked turtle,Terrapene ornata,Telemetry,5/26/22,10:26:06,41.34094408,-91.08460016,Female,"3,11L1,8R",Cuatro,Found,Active,75,On Land,,,,,
5085,tracked turtle,Terrapene ornata,Telemetry,5/27/22,12:22:18,41.34115863,-91.08432822,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
5115,tracked turtle,Terrapene ornata,Telemetry,5/28/22,13:08:26,41.34089284,-91.08469303,Female,"3,11L1,8R",Cuatro,Found,Active,15,On Land,,,,,
5165,tracked turtle,Terrapene ornata,Telemetry,6/2/22,12:19:42,41.34118406,-91.08455289,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
5204,tracked turtle,Terrapene ornata,Telemetry,6/4/22,10:11:50,41.34081764,-91.08459019,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
5230,tracked turtle,Terrapene ornata,Telemetry,6/5/22,12:16:04,41.34045607,-91.08521255,Female,"3,11L1,8R",Cuatro,Found,Not Active,10,On Land,,,,,
5253,tracked turtle,Terrapene ornata,Telemetry,6/6/22,12:37:05,41.33951019,-91.08569325,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
5280,tracked turtle,Terrapene ornata,Telemetry,6/7/22,12:25:02,41.33878832,-91.08579487,Female,"3,11L1,8R",Cuatro,Found,Not Active,50,On Land,,,,,
5288,tracked turtle,Terrapene ornata,Telemetry,6/8/22,12:41:54,41.33880131,-91.08575098,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
5331,tracked turtle,Terrapene ornata,Telemetry,6/10/22,13:33:36,41.33937003,-91.08605117,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,not gravid 
5345,tracked turtle,Terrapene ornata,Visual Encounter,6/11/22,9:27:46,41.34042274,-91.0854163,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
5478,tracked turtle,Terrapene ornata,Telemetry,6/20/22,12:30:04,41.3431058,-91.08284056,Female,"3,11L1,8R",Cuatro,Found,Active,0,On Land,,,,,
5528,tracked turtle,Terrapene ornata,Telemetry,6/23/22,11:38:16,41.34149968,-91.08422543,Female,"3,11L1,8R",Cuatro,Found,Active,90,"Lotic (pond, vernal pool)",in trees,,,,
5569,tracked turtle,Terrapene ornata,Telemetry,6/26/22,11:42:06,41.34153169,-91.08481167,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
5604,tracked turtle,Terrapene ornata,Telemetry,6/30/22,12:11:32,41.34319921,-91.08293668,Female,"3,11L1,8R",Cuatro,Found,Active,0,On Land,,,,,walkimg around in waste high grass
5677,tracked turtle,Terrapene ornata,Telemetry,7/5/22,9:55:43,41.34139985,-91.08457913,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
5731,tracked turtle,Terrapene ornata,Telemetry,7/22/22,11:59:27,41.34140936,-91.08428643,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
5746,tracked turtle,Terrapene ornata,Telemetry,7/28/22,12:16:06,41.34079451,-91.085047,Female,"3,11L1,8R",Cuatro,Found,Not Active,0,On Land,,,,,
5762,tracked turtle,Terrapene ornata,Telemetry,8/4/22,10:36:20,41.34108026,-91.08441916,Female,"3,11L1,8R",Cuatro,Not Found,Not Active,0,On Land,,,,,
5780,tracked turtle,Terrapene ornata,Telemetry,8/11/22,9:51:14,41.34113063,-91.08459987,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
5799,tracked turtle,Terrapene ornata,Telemetry,9/1/22,10:52:31,41.34091056,-91.08441031,Female,"3,11L1,8R",Cuatro,Found,Active,100,On Land,,,,,
5816,tracked turtle,Terrapene ornata,Telemetry,9/7/22,11:39:31,41.34098947,-91.08473277,Female,"3,11L1,8R",Cuatro,Found,Active,80,On Land,,,,,
5850,tracked turtle,Terrapene ornata,Telemetry,9/15/22,15:02:28,41.34094727,-91.08452723,Female,"3,11L1,8R",Cuatro,Found,Not Active,0,On Land,,,,,under bunch grass
5903,tracked turtle,Terrapene ornata,Telemetry,10/5/22,12:29:13,41.34077363,-91.08535239,Female,"3,11L1,8R",Cuatro,Found,Not Active,10,On Land,,,,,
2968,tracked turtle,Terrapene ornata,Telemetry,5/16/21,9:53:02,41.32423178,-91.07793161,Female,"3,8L2,8R",Uno,Found,Active,100,On Land,,,,,
3045,tracked turtle,Terrapene ornata,Telemetry,5/19/21,10:01:37,41.3243226,-91.07804568,Female,"3,8L2,8R",Uno,Found,Active,100,On Land,,,,,
3098,tracked turtle,Terrapene ornata,Telemetry,5/20/21,10:16:23,41.32441778,-91.07807787,Female,"3,8L2,8R",Uno,Found,Active,100,On Land,,,,,
3151,tracked turtle,Terrapene ornata,Telemetry,5/21/21,10:29:32,41.32457884,-91.07798877,Female,"3,8L2,8R",Uno,Found,Active,100,On Land,,,,,
3172,tracked turtle,Terrapene ornata,Telemetry,5/22/21,11:02:29,41.32411537,-91.07783439,Female,"3,8L2,8R",Uno,Found,Active,100,On Land,,,,,
3262,tracked turtle,Terrapene ornata,Telemetry,5/24/21,10:33:22,41.32447377,-91.07742878,Female,"3,8L2,8R",Uno,Found,Active,100,On Land,,,,,
3322,tracked turtle,Terrapene ornata,Telemetry,5/26/21,10:00:32,41.32455209,-91.07753014,Female,"3,8L2,8R",Uno,Found,Active,50,On Land,,,,,
3379,tracked turtle,Terrapene ornata,Telemetry,5/29/21,10:19:38,41.32444418,-91.07774243,Female,"3,8L2,8R",Uno,Found,Active,100,On Land,,,,,
3414,tracked turtle,Terrapene ornata,Telemetry,5/30/21,10:42:51,41.32401264,-91.07827286,Female,"3,8L2,8R",Uno,Found,Active,100,On Land,,,,,
3497,tracked turtle,Terrapene ornata,Telemetry,6/2/21,10:27:30,41.32410844,-91.07840803,Female,"3,8L2,8R",Uno,Found,Active,100,On Land,,,,,
3530,tracked turtle,Terrapene ornata,Telemetry,6/3/21,11:00:54,41.32456121,-91.07754211,Female,"3,8L2,8R",Uno,Found,Not Active,35,On Land,Dow loaded logger,,,,
3641,tracked turtle,Terrapene ornata,Telemetry,6/6/21,9:47:31,41.32410191,-91.07795984,Female,"3,8L2,8R",Uno,Found,Active,100,On Land,,,,,cant feel eggs
3696,tracked turtle,Terrapene ornata,Telemetry,6/7/21,10:17:01,41.32411617,-91.07867508,Female,"3,8L2,8R",Uno,Found,Active,100,On Land,,,,,
3740,tracked turtle,Terrapene ornata,Telemetry,6/8/21,10:00:14,41.32407197,-91.07833274,Female,"3,8L2,8R",Uno,Found,Active,100,On Land,,,,,
3761,tracked turtle,Terrapene ornata,Telemetry,6/9/21,8:40:19,41.32405863,-91.07834326,Female,"3,8L2,8R",Uno,Found,Active,100,On Land,,,,,
3783,tracked turtle,Terrapene ornata,Telemetry,6/10/21,10:26:59,41.32422803,-91.07832745,Female,"3,8L2,8R",Uno,Found,Active,100,On Land,,,,,
3797,tracked turtle,Terrapene ornata,Telemetry,6/11/21,8:59:06,41.3251846,-91.08254234,Female,"3,8L2,8R",Uno,Found,Active,100,On Land,,,,,started to bury after i spitted her
3845,tracked turtle,Terrapene ornata,Telemetry,6/12/21,10:01:20,41.32496725,-91.08185685,Female,"3,8L2,8R",Uno,Found,Active,100,On Land,,,,,
3864,tracked turtle,Terrapene ornata,Telemetry,6/13/21,9:14:53,41.32510204,-91.08227507,Female,"3,8L2,8R",Uno,Not Found,Not Active,0,On Land,,,,,
3914,tracked turtle,Terrapene ornata,Telemetry,6/14/21,8:33:00,41.3239068,-91.07918303,Female,"3,8L2,8R",Uno,Found,Active,100,On Land,,,,,
3976,tracked turtle,Terrapene ornata,Telemetry,6/17/21,8:52:43,41.32419361,-91.07817668,Female,"3,8L2,8R",Uno,Found,Active,100,On Land,,,,,
4078,tracked turtle,Terrapene ornata,Telemetry,6/23/21,8:18:09,41.32528132,-91.0823178,Female,"3,8L2,8R",Uno,Found,Active,100,On Land,,,,,i think she just finished nesting
4173,tracked turtle,Terrapene ornata,Telemetry,7/2/21,9:23:46,41.32442234,-91.07804286,Female,"3,8L2,8R",Uno,Found,Active,100,On Land,,,,,
4342,tracked turtle,Terrapene ornata,Telemetry,7/12/21,10:29:54,41.32434744,-91.07806894,Female,"3,8L2,8R",Uno,Found,Active,100,On Land,,,,,
4536,tracked turtle,Terrapene ornata,Telemetry,7/20/21,13:11:44,41.32430288,-91.07801232,Female,"3,8L2,8R",Uno,Found,Active,0,On Land,buried and under grass,,,,datalogger downloaded
4562,tracked turtle,Terrapene ornata,Telemetry,7/27/21,8:45:57,41.32437394,-91.07797511,Female,"3,8L2,8R",Uno,Found,Active,100,On Land,,,,,
4577,tracked turtle,Terrapene ornata,Telemetry,8/4/21,11:48:14,41.32427577,-91.0780674,Female,"3,8L2,8R",Uno,Found,Active,100,On Land,,,,,
4592,tracked turtle,Terrapene ornata,Telemetry,8/11/21,8:40:24,41.32437665,-91.07773071,Female,"3,8L2,8R",Uno,Found,Not Active,0,On Land,,,,,
