Station,Lat,Long,Date,Hour,tmp(f),relhumidity,solar,precip,windspeed,soil_temp(4in),soil_temp(12in),soil_temp(24in),soil_temp(50in),soil12vwc
FRUI4,41.356,-91.13603,4/25/21,4:00,34.9376,86.3,0,0,2.928005,53.744,56.318,54.644,52.484,3.8
FRUI4,41.356,-91.13603,4/25/21,5:00,34.1456,87.5,0,0,0,52.934,56.246,54.734,52.466,3.8
FRUI4,41.356,-91.13603,4/25/21,6:00,33.7352,84,559.56006,0,0,52.088,56.102,54.788,52.502,3.8
FRUI4,41.356,-91.13603,4/25/21,7:00,35.9114,84,107537.445,0,2.344004,51.296,55.994,54.824,52.52,3.8
FRUI4,41.356,-91.13603,4/25/21,8:00,41.8388,69.4,596850.1,0,5.1630087,50.666,55.832,54.878,52.502,3.8
FRUI4,41.356,-91.13603,4/25/21,9:00,44.3696,58.76,1274394.3,0,8.290014,50.504,55.67,54.932,52.538,3.8
FRUI4,41.356,-91.13603,4/25/21,10:00,47.606,43.65,1930925.9,0,7.3290124,51.026,55.472,54.932,52.502,3.8
FRUI4,41.356,-91.13603,4/25/21,11:00,50.396,37.45,2445156,0,6.5260105,52.34,55.256,55.004,52.556,3.8
FRUI4,41.356,-91.13603,4/25/21,12:00,51.08,36.36,1876566,0,5.8740096,54.212,55.112,54.968,52.592,3.8
FRUI4,41.356,-91.13603,4/25/21,13:00,51.548,38.67,1541796,0,5.1650085,55.886,54.95,54.968,52.574,3.8
FRUI4,41.356,-91.13603,4/25/21,14:00,52.142,37.81,1241718.3,0,6.34801,56.948,54.896,54.968,52.574,3.8
FRUI4,41.356,-91.13603,4/25/21,15:00,54.212,38.34,2588106.4,0,8.240013,57.686,54.896,54.968,52.574,3.8
